WL	QE	DSig	MSig	Mcorr	RPI	DSD	MSD	RSD	GC
970	2.12E+01	1.75E-01	5.53E-01	1.01E+00	8.38E-03	0.015	0.015	0.001	B-A-3-1
980	1.80E+01	4.42E-01	1.56E+00	9.96E-01	2.44E-02	0.018	0.041	0.023	A-A-3-2
990	1.49E+01	2.07E-01	8.45E-01	9.96E-01	1.37E-02	0.056	0.056	0.002	B-A-3-1
1000	1.19E+01	1.67E-01	8.16E-01	1.03E+00	1.49E-02	0.073	0.068	0.005	B-A-3-0
1010	8.53E+00	6.52E-02	4.17E-01	1.01E+00	7.78E-03	0.02	0.026	0.006	B-A-3-1
1020	5.73E+00	4.51E-02	3.84E-01	1.02E+00	8.12E-03	0.015	0.023	0.028	B-B-3-1
1030	3.50E+00	1.74E-02	2.15E-01	1.01E+00	5.09E-03	0.008	0.02	0.012	CA-B-2-0
1040	1.99E+00	8.77E-03	1.65E-01	1.01E+00	4.52E-03	0.003	0.017	0.02	CA-B-2-0
1050	1.08E+00	5.07E-03	1.46E-01	1.01E+00	4.79E-03	0.094	0.042	0.065	CA-B-3-0
1060	5.81E-01	2.69E-03	1.14E-01	1.01E+00	4.74E-03	0.04	0.001	0.04	CA-B-3-2
1070	3.07E-01	1.17E-03	7.52E-02	1.01E+00	3.88E-03	0.598	0.03	0.587	CA-B-3-2
1080	1.68E-01	8.10E-04	7.69E-02	1.00E+00	4.85E-03	0.77	0.034	0.736	CA-B-3-0
1090	9.25E-02	4.83E-04	6.76E-02	1.01E+00	5.31E-03	0.505	0.01	0.498	CA-B-3-0
1100	5.15E-02	1.78E-04	3.47E-02	1.01E+00	3.53E-03	5.239	0.029	5.262	CA-CA-3-0
end data									
Jsc [mA/cm2]:  22.28	20.14	26.15							
Bandgap [eV]:  1.292									
Power Mode Calibration									
Monitor Corrections:  On									
Chopping Frequency [Hz]:  50.00									
Light Bias Current [mA]:  -0.02									
Voltage Bias [V]:  0.00									
Meas Period: [s]:  0.5									
Readings per WL :  3									
Scan Duration [s]:  179									
Calibration Info:  Sat, Jan 01, 2005 12:05 AM									
									
									
Device ID:  									
