/ SCAPS Absorption Data - CdS2
/ lambda[nm]	alpha[m^-1]
2.400000e+02	1.858777e+08
2.410000e+02	1.858822e+08
2.420000e+02	1.627742e+08
2.430000e+02	1.608122e+08
2.440000e+02	1.560161e+08
2.450000e+02	1.492559e+08
2.460000e+02	1.466853e+08
2.470000e+02	1.396634e+08
2.480000e+02	1.372485e+08
2.490000e+02	1.325668e+08
2.500000e+02	1.297537e+08
2.510000e+02	1.261406e+08
2.520000e+02	1.220521e+08
2.530000e+02	1.190663e+08
2.540000e+02	1.161561e+08
2.550000e+02	1.129093e+08
2.560000e+02	1.095071e+08
2.570000e+02	1.067575e+08
2.580000e+02	1.035330e+08
2.590000e+02	1.007295e+08
2.600000e+02	9.783888e+07
2.610000e+02	9.491313e+07
2.620000e+02	9.212615e+07
2.630000e+02	8.955732e+07
2.640000e+02	8.685563e+07
2.650000e+02	8.424323e+07
2.660000e+02	8.170579e+07
2.670000e+02	7.929158e+07
2.680000e+02	7.682061e+07
2.690000e+02	7.450757e+07
2.700000e+02	7.218106e+07
2.710000e+02	6.996914e+07
2.720000e+02	6.784833e+07
2.730000e+02	6.578987e+07
2.740000e+02	6.382960e+07
2.750000e+02	6.179565e+07
2.760000e+02	5.980955e+07
2.770000e+02	5.803766e+07
2.780000e+02	5.625759e+07
2.790000e+02	5.451878e+07
2.800000e+02	5.284617e+07
2.810000e+02	5.121533e+07
2.820000e+02	4.961035e+07
2.830000e+02	4.802150e+07
2.840000e+02	4.662129e+07
2.850000e+02	4.520207e+07
2.860000e+02	4.397034e+07
2.870000e+02	4.272358e+07
2.880000e+02	4.148277e+07
2.890000e+02	4.034651e+07
2.900000e+02	3.918931e+07
2.910000e+02	3.809363e+07
2.920000e+02	3.705174e+07
2.930000e+02	3.607970e+07
2.940000e+02	3.513401e+07
2.950000e+02	3.426402e+07
2.960000e+02	3.337591e+07
2.970000e+02	3.260479e+07
2.980000e+02	3.186718e+07
2.990000e+02	3.110415e+07
3.000000e+02	3.041138e+07
3.010000e+02	2.979757e+07
3.020000e+02	2.918722e+07
3.030000e+02	2.861464e+07
3.040000e+02	2.808863e+07
3.050000e+02	2.760317e+07
3.060000e+02	2.710498e+07
3.070000e+02	2.663684e+07
3.080000e+02	2.617869e+07
3.090000e+02	2.579665e+07
3.100000e+02	2.541115e+07
3.110000e+02	2.511526e+07
3.120000e+02	2.474040e+07
3.130000e+02	2.444842e+07
3.140000e+02	2.417272e+07
3.150000e+02	2.384453e+07
3.160000e+02	2.361694e+07
3.170000e+02	2.335667e+07
3.180000e+02	2.311478e+07
3.190000e+02	2.292098e+07
3.200000e+02	2.269619e+07
3.210000e+02	2.246818e+07
3.220000e+02	2.225314e+07
3.230000e+02	2.204632e+07
3.240000e+02	2.186444e+07
3.250000e+02	2.171361e+07
3.260000e+02	2.152304e+07
3.270000e+02	2.137894e+07
3.280000e+02	2.127031e+07
3.290000e+02	2.106141e+07
3.300000e+02	2.094865e+07
3.310000e+02	2.078538e+07
3.320000e+02	2.067437e+07
3.330000e+02	2.057020e+07
3.340000e+02	2.043649e+07
3.350000e+02	2.032824e+07
3.360000e+02	2.020117e+07
3.370000e+02	2.009712e+07
3.380000e+02	2.000595e+07
3.390000e+02	1.991440e+07
3.400000e+02	1.981006e+07
3.410000e+02	1.972228e+07
3.420000e+02	1.960677e+07
3.430000e+02	1.950878e+07
3.440000e+02	1.945208e+07
3.450000e+02	1.938081e+07
3.460000e+02	1.931876e+07
3.470000e+02	1.924998e+07
3.480000e+02	1.918737e+07
3.490000e+02	1.911115e+07
3.500000e+02	1.903326e+07
3.510000e+02	1.894708e+07
3.520000e+02	1.890537e+07
3.530000e+02	1.882454e+07
3.540000e+02	1.877685e+07
3.550000e+02	1.870790e+07
3.560000e+02	1.863410e+07
3.570000e+02	1.859466e+07
3.580000e+02	1.849064e+07
3.590000e+02	1.844634e+07
3.600000e+02	1.836588e+07
3.610000e+02	1.832952e+07
3.620000e+02	1.826825e+07
3.630000e+02	1.822185e+07
3.640000e+02	1.819735e+07
3.650000e+02	1.809733e+07
3.660000e+02	1.807261e+07
3.670000e+02	1.800013e+07
3.680000e+02	1.794988e+07
3.690000e+02	1.789696e+07
3.700000e+02	1.783105e+07
3.710000e+02	1.780355e+07
3.720000e+02	1.773876e+07
3.730000e+02	1.767710e+07
3.740000e+02	1.761162e+07
3.750000e+02	1.754935e+07
3.760000e+02	1.752207e+07
3.770000e+02	1.749219e+07
3.780000e+02	1.741461e+07
3.790000e+02	1.735773e+07
3.800000e+02	1.731963e+07
3.810000e+02	1.726105e+07
3.820000e+02	1.719922e+07
3.830000e+02	1.715331e+07
3.840000e+02	1.711557e+07
3.850000e+02	1.707737e+07
3.860000e+02	1.700812e+07
3.870000e+02	1.696610e+07
3.880000e+02	1.690475e+07
3.890000e+02	1.684547e+07
3.900000e+02	1.679807e+07
3.910000e+02	1.673535e+07
3.920000e+02	1.669369e+07
3.930000e+02	1.664050e+07
3.940000e+02	1.657907e+07
3.950000e+02	1.655907e+07
3.960000e+02	1.647853e+07
3.970000e+02	1.643263e+07
3.980000e+02	1.638553e+07
3.990000e+02	1.633890e+07
4.000000e+02	1.630523e+07
4.010000e+02	1.624782e+07
4.020000e+02	1.620709e+07
4.030000e+02	1.613591e+07
