/ SCAPS Absorption Data - CdS3
/ lambda[nm]	alpha[m^-1]
2.360000e+02	1.849525e+08
2.380000e+02	1.696728e+08
2.390000e+02	1.618444e+08
2.400000e+02	1.550866e+08
2.410000e+02	1.513679e+08
2.420000e+02	1.465803e+08
2.430000e+02	1.422179e+08
2.440000e+02	1.377461e+08
2.450000e+02	1.338360e+08
2.460000e+02	1.297324e+08
2.470000e+02	1.257144e+08
2.480000e+02	1.226718e+08
2.490000e+02	1.189563e+08
2.500000e+02	1.160568e+08
2.510000e+02	1.125642e+08
2.520000e+02	1.089755e+08
2.530000e+02	1.059603e+08
2.540000e+02	1.027333e+08
2.550000e+02	9.982141e+07
2.560000e+02	9.675061e+07
2.570000e+02	9.370329e+07
2.580000e+02	9.070973e+07
2.590000e+02	8.790406e+07
2.600000e+02	8.507532e+07
2.610000e+02	8.224704e+07
2.620000e+02	7.960348e+07
2.630000e+02	7.690855e+07
2.640000e+02	7.432861e+07
2.650000e+02	7.169730e+07
2.660000e+02	6.917039e+07
2.670000e+02	6.683310e+07
2.680000e+02	6.432799e+07
2.690000e+02	6.205560e+07
2.700000e+02	5.980847e+07
2.710000e+02	5.755587e+07
2.720000e+02	5.549484e+07
2.730000e+02	5.340329e+07
2.740000e+02	5.143935e+07
2.750000e+02	4.941522e+07
2.760000e+02	4.754486e+07
2.770000e+02	4.571210e+07
2.780000e+02	4.400738e+07
2.790000e+02	4.230969e+07
2.800000e+02	4.063531e+07
2.810000e+02	3.904037e+07
2.820000e+02	3.743835e+07
2.830000e+02	3.592687e+07
2.840000e+02	3.453035e+07
2.850000e+02	3.309698e+07
2.860000e+02	3.188198e+07
2.870000e+02	3.061968e+07
2.880000e+02	2.942798e+07
2.890000e+02	2.829412e+07
2.900000e+02	2.714788e+07
2.910000e+02	2.606903e+07
2.920000e+02	2.510014e+07
2.930000e+02	2.410695e+07
2.940000e+02	2.316713e+07
2.950000e+02	2.231004e+07
2.960000e+02	2.145925e+07
2.970000e+02	2.067552e+07
2.980000e+02	1.995373e+07
2.990000e+02	1.921137e+07
3.000000e+02	1.857249e+07
3.010000e+02	1.794307e+07
3.020000e+02	1.736252e+07
3.030000e+02	1.681953e+07
3.040000e+02	1.630378e+07
3.050000e+02	1.581831e+07
3.060000e+02	1.533069e+07
3.070000e+02	1.489316e+07
3.080000e+02	1.447862e+07
3.090000e+02	1.410297e+07
3.100000e+02	1.377995e+07
3.110000e+02	1.340811e+07
3.120000e+02	1.311477e+07
3.130000e+02	1.285722e+07
3.140000e+02	1.256239e+07
3.150000e+02	1.234071e+07
3.160000e+02	1.212613e+07
3.170000e+02	1.186289e+07
3.180000e+02	1.166056e+07
3.190000e+02	1.145931e+07
3.200000e+02	1.125232e+07
3.210000e+02	1.108168e+07
3.220000e+02	1.091279e+07
3.230000e+02	1.075803e+07
3.240000e+02	1.060929e+07
3.250000e+02	1.050332e+07
3.260000e+02	1.036516e+07
3.270000e+02	1.023591e+07
3.280000e+02	1.012784e+07
3.290000e+02	1.000535e+07
3.300000e+02	9.903174e+06
3.310000e+02	9.810843e+06
3.320000e+02	9.758256e+06
3.330000e+02	9.674432e+06
3.340000e+02	9.585499e+06
3.350000e+02	9.511296e+06
3.360000e+02	9.438219e+06
3.370000e+02	9.346153e+06
3.380000e+02	9.282998e+06
3.390000e+02	9.290036e+06
3.400000e+02	9.233658e+06
3.410000e+02	9.191678e+06
3.420000e+02	9.142485e+06
3.430000e+02	9.073375e+06
3.440000e+02	9.050043e+06
3.450000e+02	9.030586e+06
3.460000e+02	9.018910e+06
3.470000e+02	9.008341e+06
3.480000e+02	8.928919e+06
3.490000e+02	8.913819e+06
3.500000e+02	8.930586e+06
3.510000e+02	8.881328e+06
3.520000e+02	8.837054e+06
3.530000e+02	8.841783e+06
3.540000e+02	8.803151e+06
3.550000e+02	8.816799e+06
3.560000e+02	8.768826e+06
3.570000e+02	8.750293e+06
3.580000e+02	8.718031e+06
3.590000e+02	8.698776e+06
3.600000e+02	8.710432e+06
3.610000e+02	8.691094e+06
3.620000e+02	8.723837e+06
3.630000e+02	8.688505e+06
3.640000e+02	8.645489e+06
3.650000e+02	8.614673e+06
3.660000e+02	8.654389e+06
3.670000e+02	8.628878e+06
3.680000e+02	8.629904e+06
3.690000e+02	8.597990e+06
3.700000e+02	8.596523e+06
3.710000e+02	8.604082e+06
3.720000e+02	8.608554e+06
3.730000e+02	8.572173e+06
3.740000e+02	8.561110e+06
3.750000e+02	8.543950e+06
3.760000e+02	8.566390e+06
3.770000e+02	8.580758e+06
3.780000e+02	8.548803e+06
3.790000e+02	8.523535e+06
3.800000e+02	8.496698e+06
3.810000e+02	8.532894e+06
3.820000e+02	8.502347e+06
3.830000e+02	8.477354e+06
3.840000e+02	8.472618e+06
3.850000e+02	8.491514e+06
3.860000e+02	8.447831e+06
3.870000e+02	8.457279e+06
3.880000e+02	8.437026e+06
3.890000e+02	8.431965e+06
3.900000e+02	8.416783e+06
3.910000e+02	8.403885e+06
3.920000e+02	8.388817e+06
3.930000e+02	8.386524e+06
3.940000e+02	8.353307e+06
3.950000e+02	8.375233e+06
3.960000e+02	8.339378e+06
3.970000e+02	8.334688e+06
3.980000e+02	8.333395e+06
3.990000e+02	8.324599e+06
4.000000e+02	8.314386e+06
