/ SCAPS Absorption Data - CdS3
/ lambda[nm]	alpha[m^-1]
4.010000e+02	8.298584e+06
4.020000e+02	8.288443e+06
4.030000e+02	8.270501e+06
4.040000e+02	8.272773e+06
4.050000e+02	8.299107e+06
4.060000e+02	8.299838e+06
4.070000e+02	8.267527e+06
4.080000e+02	8.227415e+06
4.090000e+02	8.196848e+06
4.100000e+02	8.183572e+06
4.110000e+02	8.204615e+06
4.120000e+02	8.198845e+06
4.130000e+02	8.192596e+06
4.140000e+02	8.160558e+06
4.150000e+02	8.143111e+06
4.160000e+02	8.180089e+06
4.170000e+02	8.171380e+06
4.180000e+02	8.172761e+06
4.190000e+02	8.120181e+06
4.200000e+02	8.127988e+06
4.210000e+02	8.131399e+06
4.220000e+02	8.140784e+06
4.230000e+02	8.107767e+06
4.240000e+02	8.113833e+06
4.250000e+02	8.120796e+06
4.260000e+02	8.098544e+06
4.270000e+02	8.097755e+06
4.280000e+02	8.095652e+06
4.290000e+02	8.100362e+06
4.300000e+02	8.084298e+06
4.310000e+02	8.072272e+06
4.320000e+02	8.050662e+06
4.330000e+02	8.051342e+06
4.340000e+02	8.035590e+06
4.350000e+02	8.029537e+06
4.360000e+02	8.026874e+06
4.370000e+02	8.025925e+06
4.380000e+02	8.000930e+06
4.390000e+02	8.002349e+06
4.400000e+02	7.980114e+06
4.410000e+02	7.990099e+06
4.420000e+02	7.985226e+06
4.430000e+02	7.988950e+06
4.440000e+02	7.974265e+06
4.450000e+02	7.970851e+06
4.460000e+02	7.957222e+06
4.470000e+02	7.956898e+06
4.480000e+02	7.955751e+06
4.490000e+02	7.927289e+06
4.500000e+02	7.934762e+06
4.510000e+02	7.907009e+06
4.520000e+02	7.904328e+06
4.530000e+02	7.901993e+06
4.540000e+02	7.890735e+06
4.550000e+02	7.863555e+06
4.560000e+02	7.874636e+06
4.570000e+02	7.867642e+06
4.580000e+02	7.854008e+06
4.590000e+02	7.837057e+06
4.600000e+02	7.845251e+06
4.610000e+02	7.829260e+06
4.620000e+02	7.816667e+06
4.630000e+02	7.803668e+06
4.640000e+02	7.799886e+06
4.650000e+02	7.795686e+06
4.660000e+02	7.780162e+06
4.670000e+02	7.764370e+06
4.680000e+02	7.760656e+06
4.690000e+02	7.734347e+06
4.700000e+02	7.718939e+06
4.710000e+02	7.710033e+06
4.720000e+02	7.698718e+06
4.730000e+02	7.682113e+06
4.740000e+02	7.683014e+06
4.750000e+02	7.647141e+06
4.760000e+02	7.645243e+06
4.770000e+02	7.627674e+06
4.780000e+02	7.589971e+06
4.790000e+02	7.588190e+06
4.800000e+02	7.574511e+06
4.810000e+02	7.557460e+06
4.820000e+02	7.549374e+06
4.830000e+02	7.512723e+06
4.840000e+02	7.482039e+06
4.850000e+02	7.497791e+06
4.860000e+02	7.476954e+06
4.870000e+02	7.465757e+06
4.880000e+02	7.443558e+06
4.890000e+02	7.420462e+06
4.900000e+02	7.409246e+06
4.910000e+02	7.394146e+06
4.920000e+02	7.372408e+06
4.930000e+02	7.362544e+06
4.940000e+02	7.342251e+06
4.950000e+02	7.330580e+06
4.960000e+02	7.333981e+06
4.970000e+02	7.324541e+06
4.980000e+02	7.293974e+06
4.990000e+02	7.292499e+06
5.000000e+02	7.264177e+06
5.010000e+02	7.254009e+06
5.020000e+02	7.243131e+06
5.030000e+02	7.236409e+06
5.040000e+02	7.232299e+06
5.050000e+02	7.226111e+06
5.060000e+02	7.205253e+06
5.070000e+02	7.199110e+06
5.080000e+02	7.194641e+06
5.090000e+02	7.186878e+06
5.100000e+02	7.178992e+06
5.110000e+02	7.169074e+06
5.120000e+02	7.154391e+06
5.130000e+02	7.137175e+06
5.140000e+02	7.145135e+06
5.150000e+02	7.128336e+06
5.160000e+02	7.112854e+06
5.170000e+02	7.111762e+06
5.180000e+02	7.105591e+06
5.190000e+02	7.095515e+06
5.200000e+02	7.086379e+06
5.210000e+02	7.076900e+06
5.220000e+02	7.071528e+06
5.230000e+02	7.052666e+06
5.240000e+02	7.058541e+06
5.250000e+02	7.049676e+06
5.260000e+02	7.039261e+06
5.270000e+02	7.028490e+06
5.280000e+02	7.011236e+06
5.290000e+02	7.010189e+06
5.300000e+02	7.013077e+06
5.310000e+02	7.008408e+06
5.320000e+02	6.991971e+06
5.330000e+02	6.984107e+06
5.340000e+02	6.981270e+06
5.350000e+02	6.966720e+06
5.360000e+02	6.969209e+06
5.370000e+02	6.957552e+06
5.380000e+02	6.940378e+06
5.390000e+02	6.929817e+06
5.400000e+02	6.921942e+06
5.410000e+02	6.923394e+06
5.420000e+02	6.908744e+06
5.430000e+02	6.903363e+06
5.440000e+02	6.895352e+06
5.450000e+02	6.898328e+06
5.460000e+02	6.877872e+06
5.470000e+02	6.881533e+06
5.480000e+02	6.885244e+06
5.490000e+02	6.876899e+06
5.500000e+02	6.862304e+06
5.510000e+02	6.854846e+06
5.520000e+02	6.839811e+06
5.530000e+02	6.841668e+06
5.540000e+02	6.828074e+06
5.550000e+02	6.828853e+06
5.560000e+02	6.824028e+06
5.570000e+02	6.812525e+06
5.580000e+02	6.815941e+06
5.590000e+02	6.809834e+06
5.600000e+02	6.796947e+06
5.610000e+02	6.792563e+06
5.620000e+02	6.799453e+06
5.630000e+02	6.790686e+06
5.640000e+02	6.773920e+06
5.650000e+02	6.764953e+06
5.660000e+02	6.765549e+06
5.670000e+02	6.762396e+06
5.680000e+02	6.759850e+06
5.690000e+02	6.755719e+06
5.700000e+02	6.748430e+06
5.710000e+02	6.746365e+06
5.720000e+02	6.733519e+06
5.730000e+02	6.728401e+06
5.740000e+02	6.723979e+06
5.750000e+02	6.723757e+06
5.760000e+02	6.702255e+06
5.770000e+02	6.706130e+06
5.780000e+02	6.701145e+06
5.790000e+02	6.688169e+06
5.800000e+02	6.682977e+06
5.810000e+02	6.681701e+06
5.820000e+02	6.670616e+06
5.830000e+02	6.666475e+06
5.840000e+02	6.673108e+06
5.850000e+02	6.661502e+06
5.860000e+02	6.654349e+06
5.870000e+02	6.649595e+06
5.880000e+02	6.656468e+06
5.890000e+02	6.629901e+06
5.900000e+02	6.629380e+06
5.910000e+02	6.627911e+06
5.920000e+02	6.628353e+06
5.930000e+02	6.626484e+06
5.940000e+02	6.628099e+06
5.950000e+02	6.606936e+06
5.960000e+02	6.605467e+06
5.970000e+02	6.592811e+06
5.980000e+02	6.586378e+06
5.990000e+02	6.593390e+06
6.000000e+02	6.581264e+06
6.010000e+02	6.589589e+06
6.020000e+02	6.580135e+06
6.030000e+02	6.575000e+06
6.040000e+02	6.561950e+06
6.050000e+02	6.568607e+06
6.060000e+02	6.553487e+06
6.070000e+02	6.547988e+06
6.080000e+02	6.553924e+06
6.090000e+02	6.540202e+06
6.100000e+02	6.538322e+06
6.110000e+02	6.537516e+06
6.120000e+02	6.538899e+06
6.130000e+02	6.520795e+06
6.140000e+02	6.521156e+06
6.150000e+02	6.513455e+06
6.160000e+02	6.503902e+06
6.170000e+02	6.502067e+06
6.180000e+02	6.492919e+06
6.190000e+02	6.507639e+06
6.200000e+02	6.477477e+06
6.210000e+02	6.474194e+06
6.220000e+02	6.472595e+06
6.230000e+02	6.469077e+06
6.240000e+02	6.463600e+06
6.250000e+02	6.463747e+06
6.260000e+02	6.451773e+06
6.270000e+02	6.442698e+06
6.280000e+02	6.443269e+06
6.290000e+02	6.438900e+06
6.300000e+02	6.439366e+06
6.310000e+02	6.438295e+06
6.320000e+02	6.430255e+06
6.330000e+02	6.429512e+06
6.340000e+02	6.420430e+06
6.350000e+02	6.408518e+06
6.360000e+02	6.413536e+06
6.370000e+02	6.410300e+06
6.380000e+02	6.402328e+06
6.390000e+02	6.402810e+06
6.400000e+02	6.389887e+06
6.410000e+02	6.386992e+06
6.420000e+02	6.368716e+06
6.430000e+02	6.381331e+06
6.440000e+02	6.348769e+06
6.450000e+02	6.340532e+06
6.460000e+02	6.345251e+06
6.470000e+02	6.341036e+06
6.480000e+02	6.333904e+06
6.490000e+02	6.337423e+06
6.500000e+02	6.330536e+06
6.510000e+02	6.327974e+06
6.520000e+02	6.339686e+06
6.530000e+02	6.335104e+06
6.540000e+02	6.312272e+06
6.550000e+02	6.330972e+06
6.560000e+02	6.311405e+06
6.570000e+02	6.303138e+06
6.580000e+02	6.303588e+06
6.590000e+02	6.298781e+06
6.600000e+02	6.285309e+06
6.610000e+02	6.275583e+06
6.620000e+02	6.285153e+06
6.630000e+02	6.266179e+06
6.640000e+02	6.267120e+06
6.650000e+02	6.265748e+06
6.660000e+02	6.243547e+06
6.670000e+02	6.261136e+06
6.680000e+02	6.229973e+06
6.690000e+02	6.235611e+06
6.700000e+02	6.211249e+06
6.710000e+02	6.210852e+06
6.720000e+02	6.221534e+06
6.730000e+02	6.232615e+06
6.740000e+02	6.221202e+06
6.750000e+02	6.179992e+06
6.760000e+02	6.186373e+06
6.770000e+02	6.177463e+06
6.780000e+02	6.174614e+06
6.790000e+02	6.173290e+06
6.800000e+02	6.174954e+06
6.810000e+02	6.175244e+06
6.820000e+02	6.158050e+06
6.830000e+02	6.152400e+06
6.840000e+02	6.161657e+06
6.850000e+02	6.161720e+06
6.860000e+02	6.128060e+06
6.870000e+02	6.133569e+06
6.880000e+02	6.125234e+06
6.890000e+02	6.100736e+06
6.900000e+02	6.124047e+06
6.910000e+02	6.095467e+06
6.920000e+02	6.113603e+06
6.930000e+02	6.087978e+06
6.940000e+02	6.090090e+06
6.950000e+02	6.089378e+06
6.960000e+02	6.102098e+06
6.970000e+02	6.074839e+06
6.980000e+02	6.051684e+06
6.990000e+02	6.074121e+06
7.000000e+02	6.072917e+06
7.010000e+02	6.049415e+06
7.020000e+02	6.046503e+06
7.030000e+02	6.038787e+06
7.040000e+02	6.014085e+06
7.050000e+02	6.032774e+06
7.060000e+02	6.028874e+06
7.070000e+02	6.029524e+06
7.080000e+02	6.040150e+06
7.090000e+02	6.027627e+06
7.100000e+02	6.018321e+06
7.110000e+02	5.998805e+06
7.120000e+02	5.991630e+06
7.130000e+02	5.976453e+06
7.140000e+02	5.979916e+06
7.150000e+02	5.977373e+06
7.160000e+02	5.980995e+06
7.170000e+02	5.968746e+06
7.180000e+02	5.955648e+06
7.190000e+02	5.955784e+06
7.200000e+02	5.953521e+06
7.210000e+02	5.953545e+06
7.220000e+02	5.962472e+06
7.230000e+02	5.945777e+06
7.240000e+02	5.914807e+06
7.250000e+02	5.923511e+06
7.260000e+02	5.913755e+06
7.270000e+02	5.893862e+06
7.280000e+02	5.916063e+06
7.290000e+02	5.910327e+06
7.300000e+02	5.882807e+06
7.310000e+02	5.888617e+06
7.320000e+02	5.895591e+06
7.330000e+02	5.913253e+06
7.340000e+02	5.872795e+06
7.350000e+02	5.868501e+06
7.360000e+02	5.858521e+06
7.370000e+02	5.868749e+06
7.380000e+02	5.852065e+06
7.390000e+02	5.866800e+06
7.400000e+02	5.849017e+06
7.410000e+02	5.822087e+06
7.420000e+02	5.817602e+06
7.430000e+02	5.814430e+06
7.440000e+02	5.824370e+06
7.450000e+02	5.807144e+06
7.460000e+02	5.795138e+06
7.470000e+02	5.788154e+06
7.480000e+02	5.763978e+06
7.490000e+02	5.755536e+06
7.500000e+02	5.777638e+06
7.510000e+02	5.780420e+06
7.520000e+02	5.818763e+06
7.530000e+02	5.779901e+06
7.540000e+02	5.804754e+06
7.550000e+02	5.793739e+06
7.560000e+02	5.758315e+06
7.570000e+02	5.750050e+06
7.580000e+02	5.746293e+06
7.590000e+02	5.756034e+06
7.600000e+02	5.752251e+06
7.610000e+02	5.729854e+06
7.620000e+02	5.706488e+06
7.630000e+02	5.745729e+06
7.640000e+02	5.703688e+06
7.650000e+02	5.722559e+06
7.660000e+02	5.704940e+06
7.670000e+02	5.703935e+06
7.680000e+02	5.677548e+06
7.690000e+02	5.696906e+06
7.700000e+02	5.663469e+06
7.710000e+02	5.700653e+06
7.720000e+02	5.660967e+06
7.730000e+02	5.682823e+06
7.740000e+02	5.652609e+06
7.750000e+02	5.681358e+06
7.760000e+02	5.666527e+06
7.770000e+02	5.686651e+06
7.780000e+02	5.612947e+06
7.790000e+02	5.655115e+06
7.800000e+02	5.601451e+06
7.810000e+02	5.646402e+06
7.820000e+02	5.614706e+06
7.830000e+02	5.572515e+06
7.840000e+02	5.613883e+06
7.850000e+02	5.605990e+06
7.860000e+02	5.622352e+06
7.870000e+02	5.632584e+06
7.880000e+02	5.571356e+06
7.890000e+02	5.591493e+06
7.900000e+02	5.614596e+06
7.910000e+02	5.642400e+06
7.920000e+02	5.567240e+06
7.930000e+02	5.613982e+06
7.940000e+02	5.579933e+06
7.950000e+02	5.509567e+06
7.960000e+02	5.593078e+06
7.970000e+02	5.520726e+06
7.980000e+02	5.484761e+06
7.990000e+02	5.585936e+06
8.000000e+02	5.530718e+06
8.010000e+02	5.485269e+06
8.020000e+02	5.493578e+06
8.030000e+02	5.515946e+06
8.040000e+02	5.497710e+06
8.050000e+02	5.519786e+06
8.060000e+02	5.540618e+06
8.070000e+02	5.540762e+06
8.080000e+02	5.566367e+06
8.090000e+02	5.496784e+06
8.100000e+02	5.476214e+06
8.110000e+02	5.473366e+06
8.120000e+02	5.518396e+06
8.130000e+02	5.515676e+06
8.140000e+02	5.459487e+06
8.150000e+02	5.465951e+06
8.160000e+02	5.446666e+06
8.170000e+02	5.448616e+06
8.180000e+02	5.462402e+06
8.190000e+02	5.453788e+06
8.200000e+02	5.446481e+06
8.210000e+02	5.423589e+06
8.220000e+02	5.425688e+06
8.230000e+02	5.413312e+06
8.240000e+02	5.478381e+06
8.250000e+02	5.456283e+06
8.260000e+02	5.361922e+06
8.270000e+02	5.383450e+06
8.280000e+02	5.466626e+06
8.290000e+02	5.452171e+06
8.300000e+02	5.393024e+06
8.310000e+02	5.349935e+06
8.320000e+02	5.432230e+06
8.330000e+02	5.405507e+06
8.340000e+02	5.436834e+06
8.350000e+02	5.366414e+06
8.360000e+02	5.371273e+06
8.370000e+02	5.454346e+06
8.380000e+02	5.396105e+06
8.390000e+02	5.396965e+06
8.400000e+02	5.382476e+06
8.410000e+02	5.446039e+06
8.420000e+02	5.434801e+06
8.430000e+02	5.489168e+06
8.440000e+02	5.467763e+06
8.450000e+02	5.488698e+06
8.460000e+02	5.425127e+06
8.470000e+02	5.389910e+06
8.480000e+02	5.460426e+06
8.490000e+02	5.425954e+06
8.500000e+02	5.489908e+06
8.510000e+02	5.462747e+06
8.520000e+02	5.425362e+06
8.530000e+02	5.409536e+06
8.540000e+02	5.480948e+06
8.550000e+02	5.514265e+06
8.560000e+02	5.445579e+06
8.570000e+02	5.453412e+06
8.580000e+02	5.485877e+06
8.590000e+02	5.479456e+06
8.600000e+02	5.492411e+06
8.610000e+02	5.458619e+06
8.620000e+02	5.490253e+06
8.630000e+02	5.391474e+06
8.640000e+02	5.445062e+06
8.650000e+02	5.391294e+06
8.660000e+02	5.540620e+06
8.670000e+02	5.559966e+06
8.680000e+02	5.544528e+06
8.690000e+02	5.508692e+06
8.700000e+02	5.580841e+06
8.710000e+02	5.614454e+06
8.720000e+02	5.542110e+06
8.730000e+02	5.594624e+06
8.740000e+02	5.585010e+06
8.750000e+02	5.492853e+06
8.760000e+02	5.584890e+06
8.770000e+02	5.722747e+06
8.780000e+02	5.522276e+06
8.790000e+02	5.591772e+06
8.800000e+02	5.588216e+06
8.810000e+02	5.393886e+06
8.820000e+02	5.537845e+06
8.830000e+02	5.580144e+06
8.840000e+02	5.490809e+06
8.850000e+02	5.629667e+06
8.860000e+02	5.454522e+06
8.870000e+02	5.667427e+06
8.880000e+02	5.734156e+06
8.890000e+02	5.569509e+06
8.900000e+02	5.596622e+06
8.910000e+02	5.699863e+06
8.920000e+02	5.786544e+06
8.930000e+02	5.661291e+06
8.940000e+02	5.574104e+06
8.950000e+02	5.645451e+06
8.960000e+02	5.638660e+06
8.970000e+02	5.782009e+06
8.980000e+02	5.770904e+06
8.990000e+02	5.757323e+06
9.000000e+02	5.848095e+06
