Plane (hkl),I_exp_raw,I_exp_normalized,I_reference,I_ratio,TC,TC_Error
101,1348.0,22.266270234555666,12.0,1.8555225195463054,2.7349484882448567,0.09130020917731345
130,559.0,9.233564585398083,30.0,0.3077854861799361,0.4536605949343842,0.030027624351649764
021,419.0,6.921043937892303,12.0,0.5767536614910252,0.8501063921176522,0.052751231969114444
230,696.0,11.496531219028741,70.0,0.16423616027183915,0.242075983190134,0.010782119940939878
211,4832.0,79.81499834819954,75.0,1.0641999779759939,1.5685781715369909,0.014608033468370155
221,4590.0,75.81764122893955,100.0,0.7581764122893955,1.117514560330317,0.010469090652331942
301,3168.0,52.32903865213082,60.0,0.8721506442021804,1.2855069452165735,0.01623114829818906
311,898.0,14.833168153287083,20.0,0.7416584076643542,1.0931678378830334,0.03408541142619703
240,836.0,13.809051866534523,60.0,0.23015086444224203,0.33923099943215135,0.010956025101277612
420,172.0,2.8410967955071027,20.0,0.14205483977535513,0.20938181304663886,0.03408541142619703
321,942.0,15.559960356788899,30.0,0.5186653452262966,0.7644870848447046,0.025158279862193048
041,604.0,9.976874793524942,25.0,0.3990749917409977,0.5882168143263716,0.021425115753609565
141,824.0,13.610835811034027,35.0,0.38888102317240075,0.5731914084731908,0.01947737795782687
411,338.0,5.583085563263958,12.0,0.4652571302719965,0.6857660155984878,0.04057787074547266
250,385.0,6.359431780640899,35.0,0.18169805087545426,0.2678139469201195,0.03199854950214415
431,560.0,9.250082590023124,35.0,0.2642880740006607,0.3895475591565374,0.015999274751072073
501,500.0,8.259002312520646,30.0,0.27530007708402154,0.40577870745472644,0.024346722447283586
002,6054.0,100.0,25.0,4.0,5.895802307834194,0.043824100405110464
212,403.0,6.656755863891642,8.0,0.8320944829864553,1.226466143281911,0.06391014642411942
061,1127.0,18.61579121242154,45.0,0.41368424916492313,0.6097501377353024,0.014066995191763848
360,238.0,3.931285100759828,20.0,0.1965642550379914,0.2897259971226747,0.014608033468370155
322,621.0,10.257680872150644,14.0,0.7326914908679031,1.0799510456973649,0.031302928860793194
242,603.0,9.960356788899901,18.0,0.5533531549388834,0.8156152019840003,0.028404509521830858
422,211.0,3.485298975883713,10.0,0.34852989758837133,0.5137158436376837,0.05112811713929554
